subtopic,area,dimension,default_polarity
slow-bartender,Staff,Speed,negative
slow-server,Staff,Speed,negative
slow-service,Staff,Speed,negative
excessive-plastic,Sustainability,Sustainability,negative
friendly-eco,Sustainability,Sustainability,positive
recycling-available,Sustainability,Sustainability,positive
sustainable-practice,Sustainability,Sustainability,positive
unfriendly-eco,Sustainability,Sustainability,context-dependent
outdated-phone,Technology,Aesthetics,negative
outdated-tv,Technology,Aesthetics,negative
free-wifi,Technology,Availability,positive
missing-adapter,Technology,Availability,negative
broken-tv,Technology,Condition,negative
functional-wifi,Technology,Condition,positive
old-tv,Technology,Condition,negative
smart-tv,Technology,Condition,positive
weak-wifi,Technology,Condition,negative
large-tv,Technology,Size,context-dependent
small-tv,Technology,Size,negative
fast-wifi,Technology,Speed,positive
slow-internet,Technology,Speed,negative
slow-wifi,Technology,Speed,negative
exclusive-perk,Value,Availability,positive
extra-charge,Value,Availability,negative
good-value,Value,Condition,positive
full-refund,Value,Convenience,context-dependent
unavailable-perk,Value,Service Quality,negative
small-bonus,Value,Size,negative
small-perk,Value,Size,negative
delayed-refund,Value,Speed,negative
affordable-price,Value,Value,positive
correct-bill,Value,Value,positive
disputed-charge,Value,Value,negative
expensive-inclusive,Value,Value,negative
expensive-package,Value,Value,negative
expensive-price,Value,Value,negative
fair-charge,Value,Value,positive
hidden-fee,Value,Value,negative
high-price,Value,Value,context-dependent
low-charge,Value,Value,context-dependent
overcharged-bill,Value,Value,negative
partial-refund,Value,Value,context-dependent
surprise-fee,Value,Value,negative
transparent-pricing,Value,Value,positive
unfair-rate,Value,Value,negative
useless-bonus,Value,Value,context-dependent
wrong-charge,Value,Value,negative
comprehensive-inclusive,Value,Variety,positive
limited-inclusive,Value,Variety,negative
limited-package,Value,Variety,negative
